TinyProfiler total time across processes [min...avg...max]: 6.591 ... 6.591 ... 6.591

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
mfix_solve                                              1     0.0013     0.0013     0.0013   0.02%
mfix::mfix_redistribute_solids_volume                  92   0.001271   0.001271   0.001271   0.02%
NeighborList::build()                                 164   0.001234   0.001234   0.001234   0.02%
MLCellLinOp::correctionResidual()                     367   0.001231   0.001231   0.001231   0.02%
MLMG::mgVcycle()                                      559    0.00123    0.00123    0.00123   0.02%
MLMG::mgVcycle_bottom                                 559   0.001218   0.001218   0.001218   0.02%
mfix::mfix_calc_txfr_particle()                        30   0.001214   0.001214   0.001214   0.02%
MLNodeLaplacian::buildIntegral()                       64   0.001193   0.001193   0.001193   0.02%
MLCellLinOp::compFlux()                               126   0.001189   0.001189   0.001189   0.02%
MultiFab::Divide()                                    411   0.001072   0.001072   0.001072   0.02%
FabArray::mult()                                      471   0.001071   0.001071   0.001071   0.02%
MLMG::apply()                                          66   0.001025   0.001025   0.001025   0.02%
MLNodeLaplacian::define()                              64   0.001021   0.001021   0.001021   0.02%
mfix::mfix_deposition_bcs()                            92  0.0009828  0.0009828  0.0009828   0.01%
MLCellLinOp::setLevelBC()                             220  0.0009673  0.0009673  0.0009673   0.01%
MLEBABecLap::FFlux()                                  126   0.000929   0.000929   0.000929   0.01%
MLCellLinOp::prepareForSolve()                        157  0.0009001  0.0009001  0.0009001   0.01%
MLNodeLinOp::buildMasks()                              64  0.0009001  0.0009001  0.0009001   0.01%
MLABecLaplacian::prepareForSolve()                    157  0.0008845  0.0008845  0.0008845   0.01%
FabArrayBase::getCPC()                                518  0.0008835  0.0008835  0.0008835   0.01%
DiffusionOp::ComputeLapT                               33  0.0008561  0.0008561  0.0008561   0.01%
MLMG::getFluxes()                                     252  0.0008186  0.0008186  0.0008186   0.01%
FillPatchSingleLevel                                  244  0.0007979  0.0007979  0.0007979   0.01%
FabArray::ParallelCopy()                              246   0.000767   0.000767   0.000767   0.01%
MLMG::computeMLResidual()                             217  0.0007622  0.0007622  0.0007622   0.01%
FabArray<FAB>::SumBoundary()                          214  0.0006944  0.0006944  0.0006944   0.01%
FabArray::BuildMask()                                  69  0.0006815  0.0006815  0.0006815   0.01%
mfix::mfix_calc_volume_fraction()                      31  0.0006795  0.0006795  0.0006795   0.01%
FAbArray::OverrideSync()                              192  0.0006217  0.0006217  0.0006217   0.01%
mfix::mfix_add_vel_txfr_implicit                       63  0.0005382  0.0005382  0.0005382   0.01%
DiffusionOp::ComputeDivJ                               63  0.0005132  0.0005132  0.0005132   0.01%
MultiFab::Copy()                                      217  0.0005091  0.0005091  0.0005091   0.01%
MLMG::MLResNormInf()                                  217  0.0004756  0.0004756  0.0004756   0.01%
MacProjection::set_MAC_velocity_bcs()                  63   0.000471   0.000471   0.000471   0.01%
OwnerMask()                                            64  0.0004581  0.0004581  0.0004581   0.01%
MLMG::MLRhsNormInf()                                  217  0.0004578  0.0004578  0.0004578   0.01%
OverrideSync_nowait()                                 192   0.000442   0.000442   0.000442   0.01%
NeighborParticleContainer::getRcvCountsMPI            164  0.0003958  0.0003958  0.0003958   0.01%
OverrideSync_finish()                                 192  0.0003907  0.0003907  0.0003907   0.01%
BndryData::define()                                     5  0.0003782  0.0003782  0.0003782   0.01%
NodalProjector::computeRHS                            128  0.0003704  0.0003704  0.0003704   0.01%
MLLinOp::defineGrids()                                 69  0.0003525  0.0003525  0.0003525   0.01%
ParticleContainer::BuildRedistributeMask              224  0.0003084  0.0003084  0.0003084   0.00%
FabArray::ParallelCopy_finish()                       246  0.0002839  0.0002839  0.0002839   0.00%
MultiFab::min()                                        64  0.0002754  0.0002754  0.0002754   0.00%
FabArray::setVal(val, thecmd, scomp, ncomp)           129  0.0002734  0.0002734  0.0002734   0.00%
FabArray<FAB>::SumBoundary_finish()                   214  0.0002687  0.0002687  0.0002687   0.00%
MLCellLinOp::defineAuxData()                            5  0.0002543  0.0002543  0.0002543   0.00%
NeighborParticleContainer::areMasksValid              164  0.0002476  0.0002476  0.0002476   0.00%
MultiFab::max()                                        64  0.0002247  0.0002247  0.0002247   0.00%
MLLinOp::define()                                      69  0.0002108  0.0002108  0.0002108   0.00%
MLEBABecLap::define()                                   5  0.0002106  0.0002106  0.0002106   0.00%
MLNodeLaplacian::averageDownCoeffs()                   64  0.0001755  0.0001755  0.0001755   0.00%
MOL::ExtrapVelToFaces                                  63  0.0001684  0.0001684  0.0001684   0.00%
mfix::mfix_correct_small_cells                         63  0.0001617  0.0001617  0.0001617   0.00%
mfix::mfix_init_solvers                                 1    0.00016    0.00016    0.00016   0.00%
FabArray::plus()                                       31  0.0001442  0.0001442  0.0001442   0.00%
FabArray::Saxpy()                                      69  0.0001423  0.0001423  0.0001423   0.00%
