TinyProfiler total time across processes [min...avg...max]: 6.037 ... 6.037 ... 6.037

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
MLMG::mgVcycle()                                      559   0.001266   0.001266   0.001266   0.02%
MLCellLinOp::correctionResidual()                     367   0.001266   0.001266   0.001266   0.02%
MLCellLinOp::compFlux()                               126   0.001262   0.001262   0.001262   0.02%
FabArray::mult()                                      471   0.001256   0.001256   0.001256   0.02%
MLNodeLaplacian::buildIntegral()                       64   0.001212   0.001212   0.001212   0.02%
mfix::mfix_calc_txfr_particle()                        30   0.001207   0.001207   0.001207   0.02%
MLMG::mgVcycle_bottom                                 559   0.001203   0.001203   0.001203   0.02%
MultiFab::Divide()                                    411   0.001122   0.001122   0.001122   0.02%
MLNodeLaplacian::define()                              64   0.001064   0.001064   0.001064   0.02%
MLEBABecLap::FFlux()                                  126   0.001059   0.001059   0.001059   0.02%
MLCellLinOp::setLevelBC()                             220   0.001032   0.001032   0.001032   0.02%
mfix::mfix_deposition_bcs()                            92   0.001014   0.001014   0.001014   0.02%
FillPatchSingleLevel                                  244  0.0009649  0.0009649  0.0009649   0.02%
MLMG::apply()                                          66  0.0009588  0.0009588  0.0009588   0.02%
FabArrayBase::getCPC()                                518  0.0009354  0.0009354  0.0009354   0.02%
DiffusionOp::ComputeLapT                               33  0.0009258  0.0009258  0.0009258   0.02%
MLNodeLinOp::buildMasks()                              64  0.0008989  0.0008989  0.0008989   0.01%
MLCellLinOp::prepareForSolve()                        157  0.0008851  0.0008851  0.0008851   0.01%
FabArray::ParallelCopy()                              246  0.0008837  0.0008837  0.0008837   0.01%
MLABecLaplacian::prepareForSolve()                    157  0.0008788  0.0008788  0.0008788   0.01%
MLMG::getFluxes()                                     252  0.0008407  0.0008407  0.0008407   0.01%
FabArray<FAB>::SumBoundary()                          214  0.0007172  0.0007172  0.0007172   0.01%
MLMG::computeMLResidual()                             217  0.0007005  0.0007005  0.0007005   0.01%
mfix::mfix_calc_volume_fraction()                      31  0.0006955  0.0006955  0.0006955   0.01%
FabArray::BuildMask()                                  69  0.0006325  0.0006325  0.0006325   0.01%
FAbArray::OverrideSync()                              192  0.0006192  0.0006192  0.0006192   0.01%
DiffusionOp::ComputeDivJ                               63  0.0005823  0.0005823  0.0005823   0.01%
mfix::mfix_add_vel_txfr_implicit                       63  0.0005015  0.0005015  0.0005015   0.01%
MLMG::MLResNormInf()                                  217  0.0004922  0.0004922  0.0004922   0.01%
MacProjection::set_MAC_velocity_bcs()                  63  0.0004906  0.0004906  0.0004906   0.01%
MLMG::MLRhsNormInf()                                  217  0.0004579  0.0004579  0.0004579   0.01%
OverrideSync_nowait()                                 192  0.0004495  0.0004495  0.0004495   0.01%
OwnerMask()                                            64  0.0004453  0.0004453  0.0004453   0.01%
OverrideSync_finish()                                 192   0.000392   0.000392   0.000392   0.01%
NeighborParticleContainer::getRcvCountsMPI            164  0.0003836  0.0003836  0.0003836   0.01%
BndryData::define()                                     5  0.0003771  0.0003771  0.0003771   0.01%
MLLinOp::defineGrids()                                 69  0.0003708  0.0003708  0.0003708   0.01%
NodalProjector::computeRHS                            128  0.0003634  0.0003634  0.0003634   0.01%
MLCellLinOp::defineAuxData()                            5  0.0003579  0.0003579  0.0003579   0.01%
FabArray::ParallelCopy_finish()                       246  0.0003498  0.0003498  0.0003498   0.01%
ParticleContainer::BuildRedistributeMask              224  0.0003256  0.0003256  0.0003256   0.01%
FabArray::setVal(val, thecmd, scomp, ncomp)           129  0.0003227  0.0003227  0.0003227   0.01%
NeighborParticleContainer::areMasksValid              164  0.0002817  0.0002817  0.0002817   0.00%
MultiFab::min()                                        64  0.0002632  0.0002632  0.0002632   0.00%
FabArray<FAB>::SumBoundary_finish()                   214   0.000263   0.000263   0.000263   0.00%
MLEBABecLap::define()                                   5  0.0002556  0.0002556  0.0002556   0.00%
MultiFab::max()                                        64  0.0002281  0.0002281  0.0002281   0.00%
MLLinOp::define()                                      69  0.0002104  0.0002104  0.0002104   0.00%
MOL::ExtrapVelToFaces                                  63  0.0001774  0.0001774  0.0001774   0.00%
mfix::mfix_correct_small_cells                         63  0.0001709  0.0001709  0.0001709   0.00%
MLNodeLaplacian::averageDownCoeffs()                   64  0.0001589  0.0001589  0.0001589   0.00%
MLNodeLaplacian::FillBoundaryCoeff()                   64  0.0001327  0.0001327  0.0001327   0.00%
mfix::mfix_init_solvers                                 1  0.0001305  0.0001305  0.0001305   0.00%
mfix_dem::mfix_pc_inflow()                             30  0.0001288  0.0001288  0.0001288   0.00%
FabArray::plus()                                       31  0.0001275  0.0001275  0.0001275   0.00%
mfix::volWgtSum()                                      32  0.0001225  0.0001225  0.0001225   0.00%
NodalProjector::computeSyncResidual                    64  0.0001053  0.0001053  0.0001053   0.00%
REG::DEM PARTICLE SOLVE                                30  0.0001053  0.0001053  0.0001053   0.00%
REG::FLUID SOLVE                                       30  0.0001008  0.0001008  0.0001008   0.00%
FabArrayBase::FB::FB()                                 14   7.74e-05   7.74e-05   7.74e-05   0.00%
EB2::Initialize()                                       1      7e-05      7e-05      7e-05   0.00%
MLCellLinOp::defineBC()                                 5   6.59e-05   6.59e-05   6.59e-05   0.00%
NeighborParticleContainer::GetNeighborCommTags          1   5.67e-05   5.67e-05   5.67e-05   0.00%
MLEBTensorOp::define()                                  1   5.47e-05   5.47e-05   5.47e-05   0.00%
FabArrayBase::CPC::define()                            14   4.97e-05   4.97e-05   4.97e-05   0.00%
mfix::mfix_compute_vort                                 3   3.29e-05   3.29e-05   3.29e-05   0.00%
DistributionMapping::SFCProcessorMapDoIt()              1   1.18e-05   1.18e-05   1.18e-05   0.00%
ParticleContainer::WritePlotFile()                      2   1.11e-05   1.11e-05   1.11e-05   0.00%
NeighborParticleContainer::BuildMasks                   1    9.4e-06    9.4e-06    9.4e-06   0.00%
MFIXBoundaryConditions::set_tracer_bcs()                6    8.8e-06    8.8e-06    8.8e-06   0.00%
DistributionMapping::LeastUsedCPUs()                    1    7.2e-06    7.2e-06    7.2e-06   0.00%
mfix::ComputeMassAccum()                                1      3e-06      3e-06      3e-06   0.00%
DistributionMapping::Distribute()                       1    1.3e-06    1.3e-06    1.3e-06   0.00%
--------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Incl. Min  Incl. Avg  Incl. Max   Max %
--------------------------------------------------------------------------------------------------
main()                                                  1      6.036      6.036      6.036  99.99%
mfix_solve                                              1      5.812      5.812      5.812  96.28%
REG::FLUID SOLVE                                       30      3.387      3.387      3.387  56.11%
mfix::EvolveFluid                                      30      3.387      3.387      3.387  56.11%
MLMG::solve()                                         217       3.23       3.23       3.23  53.50%
MLMG::oneIter()                                       559      3.163      3.163      3.163  52.40%
MLMG::mgVcycle()                                      559      3.157      3.157      3.157  52.30%
MLMG::mgVcycle_bottom                                 559      3.156      3.156      3.156  52.28%
MLMG::actualBottomSolve()                             559      3.155      3.155      3.155  52.26%
MLCGSolver::bicgstab                                  559       3.15       3.15       3.15  52.18%
REG::DEM PARTICLE SOLVE                                30      2.386      2.386      2.386  39.52%
mfix_dem::EvolveParticles()                            30      2.385      2.385      2.385  39.52%
mfix::mfix_apply_predictor                             33      1.735      1.735      1.735  28.75%
mfix::mfix_apply_corrector                             30      1.684      1.684      1.684  27.90%
mfix::mfix_apply_nodal_projection                      64      1.681      1.681      1.681  27.84%
NodalProjector::project                                64      1.632      1.632      1.632  27.04%
mfix::compute_MAC_projected_velocities()               63      1.497      1.497      1.497  24.80%
particles_computation                                3758     0.9226     0.9226     0.9226  15.28%
NeighborParticleContainer::buildNeighborList          164     0.6638     0.6638     0.6638  11.00%
NeighborList::build()                                 164     0.6469     0.6469     0.6469  10.72%
MLEBABecLap::apply()                                31369     0.6417     0.6417     0.6417  10.63%
MLNodeLaplacian::Fapply()                           17390     0.5556     0.5556     0.5556   9.20%
FabArray::FillBoundary()                            55369     0.5423     0.5423     0.5423   8.98%
NeighborParticleContainer::updateNeighborsCPU        3758     0.4416     0.4416     0.4416   7.31%
MLCGSolver::ParallelAllReduce                      119119     0.4179     0.4179     0.4179   6.92%
